                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                  1.774,                 1.3283,                 2.5096,                0.16117,                    0.2,                0.17633,                0.07086,                 2.3049,                 2.9811,                 3.2022,                0.00703,                0.00703,                0.00703
                    152,                 1.8593,                 1.4579,                 2.5919,                0.21715,                    0.5,                0.17695,                0.06802,                   2.38,                 2.8058,                 3.1863,              0.0070102,              0.0070102,              0.0070102
                    153,                 1.8174,                 1.2588,                 2.5272,                0.21715,                    0.5,                0.17695,                0.06802,                   2.38,                 2.8058,                 3.1863,              0.0069904,              0.0069904,              0.0069904
                    154,                 1.8214,                 1.4105,                 2.5753,                0.15026,                    0.5,                0.13494,                0.05622,                 2.3895,                 2.7625,                 3.1625,              0.0069706,              0.0069706,              0.0069706
                    155,                 1.8817,                 1.3304,                 2.5722,                0.15026,                    0.5,                0.13494,                0.05622,                 2.3895,                 2.7625,                 3.1625,              0.0069508,              0.0069508,              0.0069508
                    156,                 1.7282,                 1.2795,                 2.5595,                0.11723,                    0.4,                0.10661,                0.04703,                 2.4471,                 2.6477,                 3.1934,               0.006931,               0.006931,               0.006931
                    157,                 1.8099,                 1.3384,                 2.5648,                0.11723,                    0.4,                0.10661,                0.04703,                 2.4471,                 2.6477,                 3.1934,              0.0069112,              0.0069112,              0.0069112
                    158,                 1.7619,                 1.2657,                 2.7014,                0.34762,                0.53429,                0.51817,                0.29667,                 2.2427,                 2.0465,                 3.0374,              0.0068914,              0.0068914,              0.0068914
                    159,                 1.8317,                 1.3689,                 2.6044,                0.34762,                0.53429,                0.51817,                0.29667,                 2.2427,                 2.0465,                 3.0374,              0.0068716,              0.0068716,              0.0068716
                    160,                 1.7567,                 1.4898,                 2.5328,                      1,                0.78236,                0.92945,                0.65534,                 1.5249,                 1.5231,                 2.4736,              0.0068518,              0.0068518,              0.0068518
                    161,                 1.8102,                 1.3511,                 2.6368,                      1,                0.78236,                0.92945,                0.65534,                 1.5249,                 1.5231,                 2.4736,               0.006832,               0.006832,               0.006832
                    162,                 1.8457,                 1.3495,                 2.6357,                0.71994,                      1,                0.92885,                0.62531,                 1.4624,                  4.303,                 2.3485,              0.0068122,              0.0068122,              0.0068122
                    163,                 1.6364,                 1.2681,                 2.5789,                0.71994,                      1,                0.92885,                0.62531,                 1.4624,                  4.303,                 2.3485,              0.0067924,              0.0067924,              0.0067924
                    164,                 1.7507,                  1.413,                 2.6603,                0.85678,                      1,                0.96773,                0.67724,                  1.479,                 5.0221,                 2.4141,              0.0067726,              0.0067726,              0.0067726
                    165,                 1.6024,                  1.362,                 2.4637,                0.85678,                      1,                0.96773,                0.67724,                  1.479,                 5.0221,                 2.4141,              0.0067528,              0.0067528,              0.0067528
                    166,                 1.6522,                 1.3782,                 2.5088,                      1,                0.98968,                  0.995,                0.68339,                 1.6505,                 2.7661,                 2.6948,               0.006733,               0.006733,               0.006733
                    167,                 1.7525,                 1.3919,                 2.5378,                      1,                0.98968,                  0.995,                0.68339,                 1.6505,                 2.7661,                 2.6948,              0.0067132,              0.0067132,              0.0067132
                    168,                 1.8044,                 1.4757,                 2.4728,                      1,                0.89719,                0.97192,                0.62587,                 1.6515,                 1.4897,                 2.9116,              0.0066934,              0.0066934,              0.0066934
                    169,                 1.7656,                 1.3852,                 2.5517,                      1,                0.89719,                0.97192,                0.62587,                 1.6515,                 1.4897,                 2.9116,              0.0066736,              0.0066736,              0.0066736
                    170,                 2.0281,                 1.4421,                 2.5644,                0.96714,                    0.8,                0.90771,                0.56734,                 1.7347,                 1.2728,                 2.9489,              0.0066538,              0.0066538,              0.0066538
                    171,                 1.7494,                 1.3211,                 2.5511,                0.96714,                    0.8,                0.90771,                0.56734,                 1.7347,                 1.2728,                 2.9489,               0.006634,               0.006634,               0.006634
                    172,                 1.7898,                 1.3799,                 2.6199,                      1,                0.95263,                  0.995,                0.67264,                 1.6202,                 1.3301,                 2.7759,              0.0066142,              0.0066142,              0.0066142
                    173,                  1.648,                 1.4022,                 2.4584,                      1,                0.95263,                  0.995,                0.67264,                 1.6202,                 1.3301,                 2.7759,              0.0065944,              0.0065944,              0.0065944
                    174,                 1.7772,                 1.3298,                  2.595,                0.95395,                      1,                  0.995,                0.73159,                  1.449,                 1.7181,                 2.4628,              0.0065746,              0.0065746,              0.0065746
                    175,                 1.7682,                 1.3471,                 2.4969,                0.95395,                      1,                  0.995,                0.73159,                  1.449,                 1.7181,                 2.4628,              0.0065548,              0.0065548,              0.0065548
                    176,                 1.7237,                 1.3851,                 2.5683,                0.92847,                    0.9,                0.98591,                0.72218,                 1.4622,                 1.6332,                 2.4434,               0.006535,               0.006535,               0.006535
                    177,                 1.6527,                 1.2826,                 2.4437,                0.92847,                    0.9,                0.98591,                0.72218,                 1.4622,                 1.6332,                 2.4434,              0.0065152,              0.0065152,              0.0065152
                    178,                 1.6665,                  1.275,                 2.4431,                0.97904,                      1,                  0.995,                0.74838,                 1.3397,                  1.622,                 2.2947,              0.0064954,              0.0064954,              0.0064954
                    179,                 1.6842,                 1.3276,                 2.4055,                0.97904,                      1,                  0.995,                0.74838,                 1.3397,                  1.622,                 2.2947,              0.0064756,              0.0064756,              0.0064756
                    180,                 1.5703,                 1.1667,                 2.4088,                0.82801,                      1,                0.97682,                 0.7262,                 1.3268,                  1.543,                 2.2732,              0.0064558,              0.0064558,              0.0064558
                    181,                 1.7143,                 1.2758,                 2.5906,                0.82801,                      1,                0.97682,                 0.7262,                 1.3268,                  1.543,                 2.2732,               0.006436,               0.006436,               0.006436
                    182,                 1.6766,                 1.2754,                 2.4591,                0.78995,                      1,                  0.945,                0.72124,                 1.4112,                 1.3015,                 2.3371,              0.0064162,              0.0064162,              0.0064162
                    183,                 1.6594,                 1.2172,                 2.4648,                0.78995,                      1,                  0.945,                0.72124,                 1.4112,                 1.3015,                 2.3371,              0.0063964,              0.0063964,              0.0063964
                    184,                 1.7278,                 1.1905,                 2.5604,                0.96421,                    0.7,                0.92885,                0.68535,                 1.4464,                 1.1926,                 2.3562,              0.0063766,              0.0063766,              0.0063766
                    185,                 1.7796,                  1.249,                 2.5438,                0.96421,                    0.7,                0.92885,                0.68535,                 1.4464,                 1.1926,                 2.3562,              0.0063568,              0.0063568,              0.0063568
                    186,                 1.7857,                 1.4051,                 2.3711,                      1,                0.81754,                0.97833,                0.68539,                 1.4584,                 1.1901,                 2.4008,               0.006337,               0.006337,               0.006337
                    187,                  1.735,                 1.1853,                 2.4965,                      1,                0.81754,                0.97833,                0.68539,                 1.4584,                 1.1901,                 2.4008,              0.0063172,              0.0063172,              0.0063172
                    188,                 1.7328,                 1.1598,                 2.4694,                      1,                0.97281,                  0.995,                0.61904,                 1.5697,                 1.1952,                 2.5579,              0.0062974,              0.0062974,              0.0062974
                    189,                 1.8895,                 1.4636,                 2.4625,                      1,                0.97281,                  0.995,                0.61904,                 1.5697,                 1.1952,                 2.5579,              0.0062776,              0.0062776,              0.0062776
                    190,                 1.7979,                 1.2595,                 2.5383,                0.90646,                 0.9711,                0.97682,                0.55388,                 1.5854,                 1.3185,                 2.5943,              0.0062578,              0.0062578,              0.0062578
                    191,                 1.8429,                  1.232,                  2.589,                0.90646,                 0.9711,                0.97682,                0.55388,                 1.5854,                 1.3185,                 2.5943,               0.006238,               0.006238,               0.006238
                    192,                 1.8042,                 1.2446,                 2.5644,                0.47419,                    0.7,                0.51767,                0.32734,                 1.4842,                 1.9839,                 2.4907,              0.0062182,              0.0062182,              0.0062182
                    193,                 1.7134,                  1.241,                 2.4576,                0.47419,                    0.7,                0.51767,                0.32734,                 1.4842,                 1.9839,                 2.4907,              0.0061984,              0.0061984,              0.0061984
                    194,                 1.7401,                 1.2267,                 2.4706,                0.56681,                0.65638,                 0.5898,                0.42725,                 1.4085,                 1.9762,                 2.3762,              0.0061786,              0.0061786,              0.0061786
                    195,                 1.7447,                 1.2576,                 2.5386,                0.56681,                0.65638,                 0.5898,                0.42725,                 1.4085,                 1.9762,                 2.3762,              0.0061588,              0.0061588,              0.0061588
                    196,                  1.863,                 1.3564,                 2.5326,                0.77179,                    0.6,                0.78206,                0.56458,                 1.4971,                    1.8,                 2.4857,               0.006139,               0.006139,               0.006139
                    197,                  1.887,                  1.256,                 2.5419,                0.77179,                    0.6,                0.78206,                0.56458,                 1.4971,                    1.8,                 2.4857,              0.0061192,              0.0061192,              0.0061192
                    198,                 1.6897,                 1.2655,                 2.4335,                0.62956,                    0.7,                0.61672,                0.37668,                 1.9665,                 2.1399,                 3.0598,              0.0060994,              0.0060994,              0.0060994
                    199,                 1.7209,                 1.1913,                  2.402,                0.62956,                    0.7,                0.61672,                0.37668,                 1.9665,                 2.1399,                 3.0598,              0.0060796,              0.0060796,              0.0060796
                    200,                 1.6287,                 1.1729,                 2.3761,                0.54625,                 0.8443,                0.63463,                0.37746,                 2.0957,                 2.0532,                 3.2061,              0.0060598,              0.0060598,              0.0060598
                    201,                 1.5055,                 1.0812,                  2.331,                0.54625,                 0.8443,                0.63463,                0.37746,                 2.0957,                 2.0532,                 3.2061,                0.00604,                0.00604,                0.00604
                    202,                 1.7034,                 1.2354,                  2.529,                0.72601,                0.79535,                0.72404,                0.48498,                 1.8564,                 1.8776,                 2.8971,              0.0060202,              0.0060202,              0.0060202
                    203,                 1.6722,                 1.3213,                 2.3099,                0.72601,                0.79535,                0.72404,                0.48498,                 1.8564,                 1.8776,                 2.8971,              0.0060004,              0.0060004,              0.0060004
                    204,                 1.6837,                 1.3132,                 2.4239,                0.68568,                    0.6,                0.71017,                0.40531,                 1.9637,                 2.0061,                 3.0393,              0.0059806,              0.0059806,              0.0059806
                    205,                 1.6524,                 1.1651,                 2.4414,                0.68568,                    0.6,                0.71017,                0.40531,                 1.9637,                 2.0061,                 3.0393,              0.0059608,              0.0059608,              0.0059608
                    206,                 1.8426,                 1.2577,                 2.5308,                0.74789,                 0.5941,                0.72535,                0.42301,                 1.8822,                 1.9826,                 2.9245,               0.005941,               0.005941,               0.005941
                    207,                 1.4838,                 1.1197,                  2.333,                0.74789,                 0.5941,                0.72535,                0.42301,                 1.8822,                 1.9826,                 2.9245,              0.0059212,              0.0059212,              0.0059212
                    208,                  1.626,                 1.2179,                 2.3496,                0.62586,                    0.9,                0.79097,                0.57268,                 1.5943,                 1.6963,                 2.7063,              0.0059014,              0.0059014,              0.0059014
                    209,                 1.5525,                 1.1209,                  2.484,                0.62586,                    0.9,                0.79097,                0.57268,                 1.5943,                 1.6963,                 2.7063,              0.0058816,              0.0058816,              0.0058816
                    210,                 1.5431,                 1.1482,                  2.462,                0.83429,                    0.7,                0.85959,                0.63863,                  1.455,                 1.8668,                 2.4843,              0.0058618,              0.0058618,              0.0058618
                    211,                  1.613,                 1.2097,                 2.4383,                0.83429,                    0.7,                0.85959,                0.63863,                  1.455,                 1.8668,                 2.4843,               0.005842,               0.005842,               0.005842
                    212,                 1.5643,                 1.1834,                 2.4309,                0.80393,                0.82162,                0.89284,                0.61818,                 1.5694,                  2.469,                 2.5543,              0.0058222,              0.0058222,              0.0058222
                    213,                 1.7303,                   1.23,                 2.4091,                0.80393,                0.82162,                0.89284,                0.61818,                 1.5694,                  2.469,                 2.5543,              0.0058024,              0.0058024,              0.0058024
                    214,                 1.7245,                 1.2356,                  2.468,                0.93498,                    0.6,                0.84147,                0.57558,                 1.6315,                 2.8873,                 2.6582,              0.0057826,              0.0057826,              0.0057826
                    215,                 1.7654,                 1.2313,                 2.4638,                0.93498,                    0.6,                0.84147,                0.57558,                 1.6315,                 2.8873,                 2.6582,              0.0057628,              0.0057628,              0.0057628
                    216,                 1.7042,                 1.2251,                 2.4101,                0.95579,                    0.6,                 0.7913,                0.53759,                 1.5833,                 2.9447,                 2.6105,               0.005743,               0.005743,               0.005743
                    217,                 1.5873,                 1.2919,                 2.4231,                0.95579,                    0.6,                 0.7913,                0.53759,                 1.5833,                 2.9447,                 2.6105,              0.0057232,              0.0057232,              0.0057232
                    218,                 1.6268,                 1.2314,                 2.4038,                 0.7327,                    0.7,                0.83023,                0.60935,                  1.391,                 2.0623,                 2.4153,              0.0057034,              0.0057034,              0.0057034
                    219,                 1.7089,                 1.2995,                 2.4114,                 0.7327,                    0.7,                0.83023,                0.60935,                  1.391,                 2.0623,                 2.4153,              0.0056836,              0.0056836,              0.0056836
                    220,                 1.5367,                 1.2185,                 2.3983,                      1,                0.98928,                  0.995,                0.66283,                 1.4365,                 1.5858,                 2.3659,              0.0056638,              0.0056638,              0.0056638
                    221,                 1.5636,                 1.1654,                 2.3958,                      1,                0.98928,                  0.995,                0.66283,                 1.4365,                 1.5858,                 2.3659,               0.005644,               0.005644,               0.005644
                    222,                 1.5349,                  1.213,                 2.3719,                0.89303,                      1,                0.98591,                0.66303,                 1.5865,                 1.3633,                 2.5192,              0.0056242,              0.0056242,              0.0056242
                    223,                 1.6034,                 1.1434,                 2.3369,                0.89303,                      1,                0.98591,                0.66303,                 1.5865,                 1.3633,                 2.5192,              0.0056044,              0.0056044,              0.0056044
                    224,                 1.5768,                 1.2215,                 2.3699,                0.92217,                    0.9,                0.97833,                0.63635,                 1.6004,                 1.2448,                 2.5493,              0.0055846,              0.0055846,              0.0055846
                    225,                 1.4568,                 1.0756,                 2.2817,                0.92217,                    0.9,                0.97833,                0.63635,                 1.6004,                 1.2448,                 2.5493,              0.0055648,              0.0055648,              0.0055648
                    226,                 1.5518,                  1.111,                 2.3892,                0.89727,                    0.8,                0.96833,                0.67476,                 1.5419,                 1.1495,                 2.4668,               0.005545,               0.005545,               0.005545
                    227,                 1.5983,                 1.2903,                 2.3918,                0.89727,                    0.8,                0.96833,                0.67476,                 1.5419,                 1.1495,                 2.4668,              0.0055252,              0.0055252,              0.0055252
                    228,                 1.6064,                 1.1675,                 2.4307,                      1,                0.89313,                0.97833,                0.64096,                 1.4919,                 1.1576,                  2.496,              0.0055054,              0.0055054,              0.0055054
                    229,                 1.3917,                 1.0669,                   2.22,                      1,                0.89313,                0.97833,                0.64096,                 1.4919,                 1.1576,                  2.496,              0.0054856,              0.0054856,              0.0054856
                    230,                 1.5044,                 1.1705,                 2.2656,                0.83582,                    0.9,                0.94643,                0.57922,                 1.4482,                  1.223,                 2.4628,              0.0054658,              0.0054658,              0.0054658
                    231,                 1.4949,                   1.06,                 2.3248,                0.83582,                    0.9,                0.94643,                0.57922,                 1.4482,                  1.223,                 2.4628,               0.005446,               0.005446,               0.005446
                    232,                 1.4814,                 1.0644,                 2.2451,                0.89498,                0.85486,                0.96192,                0.60079,                 1.3737,                 1.3154,                 2.3547,              0.0054262,              0.0054262,              0.0054262
                    233,                 1.6125,                 1.0996,                 2.3497,                0.89498,                0.85486,                0.96192,                0.60079,                 1.3737,                 1.3154,                 2.3547,              0.0054064,              0.0054064,              0.0054064
                    234,                 1.4859,                 1.0332,                  2.378,                0.95802,                      1,                  0.995,                0.66335,                 1.3081,                 1.4687,                 2.1972,              0.0053866,              0.0053866,              0.0053866
                    235,                 1.5476,                 1.1487,                 2.3847,                0.95802,                      1,                  0.995,                0.66335,                 1.3081,                 1.4687,                 2.1972,              0.0053668,              0.0053668,              0.0053668
                    236,                 1.5072,                 1.0655,                 2.3603,                0.96721,                      1,                  0.995,                 0.6801,                   1.27,                 1.9015,                 2.1242,               0.005347,               0.005347,               0.005347
                    237,                 1.6511,                 1.1767,                 2.4348,                0.96721,                      1,                  0.995,                 0.6801,                   1.27,                 1.9015,                 2.1242,              0.0053272,              0.0053272,              0.0053272
                    238,                 1.3352,                0.98264,                 2.1715,                      1,                0.85368,                0.97192,                0.62719,                 1.2073,                 2.1698,                 2.0621,              0.0053074,              0.0053074,              0.0053074
                    239,                  1.624,                  1.145,                 2.3936,                      1,                0.85368,                0.97192,                0.62719,                 1.2073,                 2.1698,                 2.0621,              0.0052876,              0.0052876,              0.0052876
                    240,                 1.3752,                 1.0106,                 2.2032,                0.91945,                    0.8,                0.95643,                0.65234,                 1.1798,                 2.1606,                 2.0027,              0.0052678,              0.0052678,              0.0052678
                    241,                 1.5195,                 1.1144,                 2.1967,                0.91945,                    0.8,                0.95643,                0.65234,                 1.1798,                 2.1606,                 2.0027,               0.005248,               0.005248,               0.005248
                    242,                 1.5598,                  1.053,                 2.3207,                0.90134,                    0.8,                0.94056,                0.66406,                 1.1518,                 1.7483,                 1.9687,              0.0052282,              0.0052282,              0.0052282
                    243,                 1.5333,                 1.0288,                 2.3767,                0.90134,                    0.8,                0.94056,                0.66406,                 1.1518,                 1.7483,                 1.9687,              0.0052084,              0.0052084,              0.0052084
                    244,                 1.6637,                 1.2287,                 2.4342,                0.93682,                    0.7,                0.91771,                0.67986,                 1.2568,                 1.4339,                 2.1162,              0.0051886,              0.0051886,              0.0051886
                    245,                 1.5391,                 1.0919,                 2.3373,                0.93682,                    0.7,                0.91771,                0.67986,                 1.2568,                 1.4339,                 2.1162,              0.0051688,              0.0051688,              0.0051688
                    246,                 1.4513,                0.96041,                 2.2265,                0.97222,                    0.7,                0.91562,                 0.6871,                 1.2728,                 1.1075,                 2.1428,               0.005149,               0.005149,               0.005149
                    247,                 1.3336,                 1.0123,                 2.1243,                0.97222,                    0.7,                0.91562,                 0.6871,                 1.2728,                 1.1075,                 2.1428,              0.0051292,              0.0051292,              0.0051292
                    248,                 1.6467,                 1.1109,                 2.3348,                0.86608,                    0.8,                0.91444,                0.65101,                 1.2181,                 1.0826,                 2.0916,              0.0051094,              0.0051094,              0.0051094
                    249,                 1.5581,                 1.2006,                 2.3556,                0.86608,                    0.8,                0.91444,                0.65101,                 1.2181,                 1.0826,                 2.0916,              0.0050896,              0.0050896,              0.0050896
                    250,                 1.5178,                   1.12,                 2.3875,                0.87605,                    0.8,                0.90423,                0.59564,                 1.2351,                 1.1763,                 2.2312,              0.0050698,              0.0050698,              0.0050698
                    251,                 1.6275,                 1.0161,                  2.346,                0.87605,                    0.8,                0.90423,                0.59564,                 1.2351,                 1.1763,                 2.2312,                0.00505,                0.00505,                0.00505
                    252,                 1.4808,                 1.0732,                 2.3444,                      1,                0.78718,                0.86868,                0.50275,                 1.3912,                 1.1983,                 2.4587,              0.0050302,              0.0050302,              0.0050302
                    253,                 1.3775,                0.99979,                 2.2062,                      1,                0.78718,                0.86868,                0.50275,                 1.3912,                 1.1983,                 2.4587,              0.0050104,              0.0050104,              0.0050104
                    254,                 1.5248,                 1.0374,                 2.3039,                0.94093,                    0.7,                0.84773,                0.50037,                 1.4759,                 1.2812,                 2.5503,              0.0049906,              0.0049906,              0.0049906
                    255,                 1.6162,                 1.1296,                  2.356,                0.94093,                    0.7,                0.84773,                0.50037,                 1.4759,                 1.2812,                 2.5503,              0.0049708,              0.0049708,              0.0049708
                    256,                 1.5713,                 1.1059,                 2.3447,                0.81163,                0.86395,                0.93006,                0.54032,                 1.4273,                 1.0942,                 2.4888,               0.004951,               0.004951,               0.004951
                    257,                 1.5822,                 1.1116,                  2.334,                0.81163,                0.86395,                0.93006,                0.54032,                 1.4273,                 1.0942,                 2.4888,              0.0049312,              0.0049312,              0.0049312
                    258,                 1.4657,                 1.0134,                 2.2258,                0.70854,                0.97384,                0.90536,                 0.5769,                 1.3568,                 1.0446,                 2.3246,              0.0049114,              0.0049114,              0.0049114
                    259,                 1.5305,                 1.1056,                 2.2982,                0.70854,                0.97384,                0.90536,                 0.5769,                 1.3568,                 1.0446,                 2.3246,              0.0048916,              0.0048916,              0.0048916
                    260,                 1.5449,                 1.0766,                 2.4264,                0.75613,                    0.9,                 0.8976,                0.57443,                 1.3782,                 1.1072,                 2.3115,              0.0048718,              0.0048718,              0.0048718
                    261,                 1.4478,                0.98053,                 2.2573,                0.75613,                    0.9,                 0.8976,                0.57443,                 1.3782,                 1.1072,                 2.3115,               0.004852,               0.004852,               0.004852
                    262,                 1.4736,                 0.9771,                 2.2158,                0.82868,                    0.6,                0.72155,                  0.364,                 1.7152,                 1.5549,                 2.6858,              0.0048322,              0.0048322,              0.0048322
                    263,                 1.4541,                 1.0482,                  2.366,                0.82868,                    0.6,                0.72155,                  0.364,                 1.7152,                 1.5549,                 2.6858,              0.0048124,              0.0048124,              0.0048124
                    264,                 1.3521,                 1.0154,                 2.2003,                0.72312,                    0.5,                0.63254,                0.29437,                 1.9535,                 1.9836,                 2.9031,              0.0047926,              0.0047926,              0.0047926
                    265,                 1.4059,                0.98408,                 2.1748,                0.72312,                    0.5,                0.63254,                0.29437,                 1.9535,                 1.9836,                 2.9031,              0.0047728,              0.0047728,              0.0047728
                    266,                 1.5195,                 1.2055,                 2.3132,                0.94287,                    0.5,                0.66865,                0.32724,                 1.9676,                 2.0187,                 2.9164,               0.004753,               0.004753,               0.004753
                    267,                 1.4753,                 1.0236,                 2.2318,                0.94287,                    0.5,                0.66865,                0.32724,                 1.9676,                 2.0187,                 2.9164,              0.0047332,              0.0047332,              0.0047332
                    268,                 1.6919,                 1.1893,                 2.3697,                0.83656,                    0.7,                 0.7726,                0.41963,                  1.896,                 1.6297,                 2.7653,              0.0047134,              0.0047134,              0.0047134
                    269,                 1.3978,                0.93096,                 2.2324,                0.83656,                    0.7,                 0.7726,                0.41963,                  1.896,                 1.6297,                 2.7653,              0.0046936,              0.0046936,              0.0046936
                    270,                  1.478,                 1.0306,                 2.3338,                0.78393,                    0.8,                0.82999,                0.46432,                 1.7491,                 1.3388,                 2.5871,              0.0046738,              0.0046738,              0.0046738
                    271,                 1.2773,                0.92523,                 2.1394,                0.78393,                    0.8,                0.82999,                0.46432,                 1.7491,                 1.3388,                 2.5871,               0.004654,               0.004654,               0.004654
                    272,                 1.4126,                 1.0031,                 2.1868,                0.91615,                    0.8,                0.96192,                0.53169,                 1.5877,                 1.2611,                 2.4724,              0.0046342,              0.0046342,              0.0046342
                    273,                 1.4728,                 1.0598,                 2.2247,                0.91615,                    0.8,                0.96192,                0.53169,                 1.5877,                 1.2611,                 2.4724,              0.0046144,              0.0046144,              0.0046144
                    274,                 1.4107,                0.98686,                 2.2199,                0.70827,                      1,                0.92306,                0.56874,                 1.3536,                  1.128,                 2.2215,              0.0045946,              0.0045946,              0.0045946
                    275,                  1.503,                 1.1797,                 2.3394,                0.70827,                      1,                0.92306,                0.56874,                 1.3536,                  1.128,                 2.2215,              0.0045748,              0.0045748,              0.0045748
                    276,                 1.4476,                 1.0156,                 2.2901,                0.67608,                      1,                0.92143,                0.64641,                 1.2072,                 1.0567,                 2.0459,               0.004555,               0.004555,               0.004555
                    277,                 1.4857,                0.97823,                 2.3383,                0.67608,                      1,                0.92143,                0.64641,                 1.2072,                 1.0567,                 2.0459,              0.0045352,              0.0045352,              0.0045352
                    278,                  1.303,                0.89526,                 2.2232,                0.74395,                    0.9,                0.90506,                0.61725,                 1.2851,                 1.0653,                 2.0901,              0.0045154,              0.0045154,              0.0045154
                    279,                 1.4475,                 1.0029,                 2.1382,                0.74395,                    0.9,                0.90506,                0.61725,                 1.2851,                 1.0653,                 2.0901,              0.0044956,              0.0044956,              0.0044956
